fid,ObjectId,GS Type,Sample Site,No_civique,Species Code,Species Latin,ESSENCE_AN,DBH,Date_relev,Longitude,Latitude,GlobalID
2345,43674,Parc,CABOT,N/A,ACSA,Acer saccharinum,Silver Maple,5,11/3/2020 12:00:00 AM,-73.583519,45.489298,5041303a-2bae-4638-9183-6cdaaa5d851c
3276,43779,Parc,CABOT,N/A,ACSA,Acer saccharinum,Silver Maple,42,12/5/2016 12:00:00 AM,-73.583926,45.489436,c99bf7f0-4ab7-4135-84ea-6e8ffd2117c0
3325,43828,Parc,CABOT,N/A,ACSA,Acer saccharinum,Silver Maple,58,12/5/2016 12:00:00 AM,-73.583765,45.489595,b9c9c316-5451-4d8d-9552-7cea5c27c828
3337,43840,Parc,CABOT,N/A,ACSA,Acer saccharinum,Silver Maple,66,12/5/2016 12:00:00 AM,-73.583586,45.489853,fcfbc3d2-c57d-4f85-80e7-47ba72cd3e6c
3431,43934,Parc,CABOT,N/A,ACSA,Acer saccharinum,Silver Maple,49,12/5/2016 12:00:00 AM,-73.583359,45.489518,8178379c-b15e-4a0c-8415-d03a36b2f35e
3433,43936,Parc,CABOT,N/A,ACSA,Acer saccharinum,Silver Maple,30,12/5/2016 12:00:00 AM,-73.583519,45.489611,0f32667d-1021-44b3-a2c8-bce8f0fbb8ff
3442,43945,Parc,CABOT,N/A,ACSA,Acer saccharinum,Silver Maple,41,12/5/2016 12:00:00 AM,-73.583829,45.489384,e6ba1e06-862a-4923-a7dd-036dc7381088
3443,43946,Parc,CABOT,N/A,ACSA,Acer saccharinum,Silver Maple,78,12/5/2016 12:00:00 AM,-73.583767,45.489517,8ad23184-c285-4253-a81e-8acdf1f2fc4e
4121,195130,Street,Avenue Atwater,2021,ACSA,Acer saccharinum,Silver Maple,22,1/23/2012 12:00:00 AM,-73.586071,45.490369,0f202b0a-5468-4a61-b095-3bde65b974ed
4123,195139,Street,Avenue Atwater,2021,ACSA,Acer saccharinum,Silver Maple,40,1/23/2012 12:00:00 AM,-73.586482,45.490612,5a9b7f27-b45b-4865-9a1c-c4cb2ed63deb
4125,195245,Street,Avenue Atwater,2021,ACSA,Acer saccharinum,Silver Maple,33,1/23/2012 12:00:00 AM,-73.586196,45.490446,37f4cd83-9a07-48a7-a7f5-be0abbae582d
4323,195946,Street,Avenue Atwater,N/A,ACSA,Acer saccharinum,Silver Maple,28,1/23/2012 12:00:00 AM,-73.587336,45.490844,b485fb53-a4ee-4786-8898-aadc45c294e4
4381,196004,Street,Avenue Docteur-Penfield,N/A,ACSA,Acer saccharinum,Silver Maple,5,7/15/2014 12:00:00 AM,-73.587002,45.495984,2d4a474d-24e4-44e5-8ea1-cfe6ec3c2375
5003,196202,Street,Avenue Holton,3451,ACSA,Acer saccharinum,Silver Maple,139,10/17/2017 12:00:00 AM,-73.589732,45.491217,0ec0fb6e-d4a9-421f-be4e-05842614d143
5004,196203,Street,Avenue Holton,3461,ACSA,Acer saccharinum,Silver Maple,120,10/17/2017 12:00:00 AM,-73.589879,45.491266,83e98425-c0c8-46ec-ba6e-b9d2aa466a4a
5008,196207,Street,Avenue Holton,3481,ACSA,Acer saccharinum,Silver Maple,128,10/17/2017 12:00:00 AM,-73.590446,45.491378,8d08fb98-de0f-4fbe-b75a-ab6f3a4ad0f5
5009,196208,Street,Avenue Holton,3481,ACSA,Acer saccharinum,Silver Maple,100,2/29/2012 12:00:00 AM,-73.590575,45.491383,e552eb68-9e75-4ae0-b48d-66a362456730
6771,198380,Street,Chemin De Breslay,3018,ACSA,Acer saccharinum,Silver Maple,72,2/29/2012 12:00:00 AM,-73.59004,45.491914,a7d58268-760c-4ea6-85ed-c936cba0ce26
6994,196997,Street,Avenue Docteur-Penfield,N/A,ACSA,Acer saccharinum,Silver Maple,5,7/15/2014 12:00:00 AM,-73.586305,45.496153,6afeb22d-a965-49aa-8e84-af2fdcbd8c11
6995,196998,Street,Avenue Docteur-Penfield,N/A,ACSA,Acer saccharinum,Silver Maple,5,7/15/2014 12:00:00 AM,-73.586542,45.496137,a1624c5e-dd46-4186-a80a-db125f2b219f
6996,196999,Street,Avenue Docteur-Penfield,N/A,ACSA,Acer saccharinum,Silver Maple,5,7/15/2014 12:00:00 AM,-73.586615,45.496132,737ea8ec-0d65-4bc0-959e-b86644a6dd2a
6997,197000,Street,Avenue Docteur-Penfield,N/A,ACSA,Acer saccharinum,Silver Maple,5,7/15/2014 12:00:00 AM,-73.586691,45.496117,96b01228-5cba-49f7-b8f8-3f2d9e3aae63
7766,198603,Street,Chemin De Breslay,3030,ACSA,Acer saccharinum,Silver Maple,92,2/29/2012 12:00:00 AM,-73.590792,45.491501,1a407518-d468-4f2c-bb89-dbede07aca44
7807,198644,Street,Chemin Saint-Sulpice,3029,ACSA,Acer saccharinum,Silver Maple,5,10/5/2016 12:00:00 AM,-73.591139,45.493367,b2a7d42f-5501-47de-b50a-22edfafb8eef
7808,198645,Street,Chemin Saint-Sulpice,3029,ACSA,Acer saccharinum,Silver Maple,5,10/5/2016 12:00:00 AM,-73.59122,45.493318,ef437242-98a0-4e36-8f82-494418bbef0f
7809,198646,Street,Chemin Saint-Sulpice,3029,ACSA,Acer saccharinum,Silver Maple,5,10/5/2016 12:00:00 AM,-73.591265,45.493288,3049dff1-05c2-4b23-ab5b-a6785e68dfc8
7982,198819,Street,Boulevard de Maisonneuve Ouest,1939,ACSA,Acer saccharinum,Silver Maple,44,3/6/2012 12:00:00 AM,-73.582327,45.493139,f0cd8fad-5a20-44f9-8d5f-9c1112e8077c
7987,198824,Street,Boulevard de Maisonneuve Ouest,2097,ACSA,Acer saccharinum,Silver Maple,85,3/6/2012 12:00:00 AM,-73.583746,45.49195,f3d73cf3-7693-4983-825d-68e929f090d3
8637,199454,Street,Rue Baile,1819,ACSA,Acer saccharinum,Silver Maple,38,1/19/2012 12:00:00 AM,-73.578133,45.492634,a7ff2c73-b40e-44e1-b69f-67a1653b80af
8638,199455,Street,Rue Baile,1831,ACSA,Acer saccharinum,Silver Maple,20,1/19/2012 12:00:00 AM,-73.578282,45.492508,a8d0f268-ba27-4e63-a084-d13f68b39fa7
8639,199456,Street,Rue Baile,1835,ACSA,Acer saccharinum,Silver Maple,23,1/19/2012 12:00:00 AM,-73.578366,45.492436,0e30f00f-3238-4a4a-a6d8-4eda426ac375
8640,199457,Street,Rue Baile,1839,ACSA,Acer saccharinum,Silver Maple,27,1/19/2012 12:00:00 AM,-73.57842,45.49239,00d99dcd-0cf0-46e4-957f-9a85782bbe88
8641,199458,Street,Rue Baile,1847,ACSA,Acer saccharinum,Silver Maple,32,1/19/2012 12:00:00 AM,-73.578505,45.492318,92a04df5-1231-4212-a702-ff1fbfa797c5
9590,200406,Street,Rue Chomedey,1447,ACSA,Acer saccharinum,Silver Maple,46,1/12/2012 12:00:00 AM,-73.583472,45.491514,d78acd91-c2f7-4c03-9cf0-f25206c0ff6f
9591,200407,Street,Rue Chomedey,1451,ACSA,Acer saccharinum,Silver Maple,40,1/12/2012 12:00:00 AM,-73.58355,45.491559,c30471f4-f5a0-4ce2-be43-42c12337f55f
9592,200408,Street,Rue Chomedey,1459,ACSA,Acer saccharinum,Silver Maple,32,1/12/2012 12:00:00 AM,-73.583679,45.491631,2f2e7bab-9ae2-42ea-941a-3a3f2f69ec74
9603,200419,Street,Rue Chomedey,1414,ACSA,Acer saccharinum,Silver Maple,30,1/12/2012 12:00:00 AM,-73.582988,45.491076,cdabc7a2-5fd5-46d9-b46e-967ad7fb6624
9606,200422,Street,Rue Chomedey,1436,ACSA,Acer saccharinum,Silver Maple,32,1/12/2012 12:00:00 AM,-73.583432,45.49133,7597778c-8787-4ca4-8749-84f6b95908fe
9608,200424,Street,Rue Chomedey,1440,ACSA,Acer saccharinum,Silver Maple,29,1/12/2012 12:00:00 AM,-73.583724,45.4915,d6a96c06-44c0-4074-b6f8-01922d3f68eb
9609,200425,Street,Rue Chomedey,1440,ACSA,Acer saccharinum,Silver Maple,44,1/12/2012 12:00:00 AM,-73.583836,45.491563,b6a0f844-eeab-4909-bebe-2153d1669cbb
