fid,ObjectId,GlobalID,Date_relev,Classification,GS Type,Sample Site,No_civique,Site Code,DBH,Species Code,Species_Common,Species Latin,Genus,Latitude,Longitude,Area_Site
4326,195949,c66a30ea-22dd-4788-aa65-509b6a7db069,1/23/2012 12:00:00 AM,Public,Street,Avenue Atwater,N/A,S110,11,ACPLEQ,Emerald Queen Norway Maple,Acer platanoides 'Emerald Queen',Acer,45.490528,-73.586799,1777.440272
12821,204445,84463759-362b-4326-8682-1b06c612ef36,1/10/2012 12:00:00 AM,Public,Street,Rue Saint-Mathieu,1185,,5,ACPLEQ,Emerald Queen Norway Maple,Acer platanoides 'Emerald Queen',Acer,45.492913,-73.57747,
14213,205048,b05321e8-09f0-405d-91cf-677fd806a154,3/6/2012 12:00:00 AM,Public,Street,Rue Sherbrooke Ouest,2174,S3,24,ACSA,Silver Maple,Acer saccharinum,Acer,45.492154,-73.58656,992.0535921
14215,205050,c4892a4b-c8b1-4121-a1a7-8fa8e4514058,3/6/2012 12:00:00 AM,Public,Street,Rue Sherbrooke Ouest,2330,S5,24,ACSA,Silver Maple,Acer saccharinum,Acer,45.491563,-73.587438,857.110891
4121,195130,0f202b0a-5468-4a61-b095-3bde65b974ed,1/23/2012 12:00:00 AM,Public,Street,Avenue Atwater,2021,S10,22,ACSA,Silver Maple,Acer saccharinum,Acer,45.490369,-73.586071,457.1318206
4123,195139,5a9b7f27-b45b-4865-9a1c-c4cb2ed63deb,1/23/2012 12:00:00 AM,Public,Street,Avenue Atwater,2021,S10,40,ACSA,Silver Maple,Acer saccharinum,Acer,45.490612,-73.586482,457.1318206
4125,195245,37f4cd83-9a07-48a7-a7f5-be0abbae582d,1/23/2012 12:00:00 AM,Public,Street,Avenue Atwater,2021,S10,33,ACSA,Silver Maple,Acer saccharinum,Acer,45.490446,-73.586196,457.1318206
15529,205948,4785ff36-bc24-471a-89d3-cc0ce2bff470,3/6/2012 12:00:00 AM,Public,Street,Rue Sherbrooke Ouest,N/A,S15,30,ACSA,Silver Maple,Acer saccharinum,Acer,45.491986,-73.587224,877.500168
15531,205950,74c6c4c3-8c41-456e-86bb-6f7803e7edd7,3/6/2012 12:00:00 AM,Public,Street,Rue Sherbrooke Ouest,N/A,S15,24,ACSA,Silver Maple,Acer saccharinum,Acer,45.491738,-73.587559,877.500168
15532,205951,7d10319e-5465-452f-bd11-048dd707fdee,3/6/2012 12:00:00 AM,Public,Street,Rue Sherbrooke Ouest,N/A,S15,23,ACSA,Silver Maple,Acer saccharinum,Acer,45.491534,-73.587818,877.500168
15535,205954,aae67a20-db9d-4545-9afe-b47184f09eab,3/6/2012 12:00:00 AM,Public,Street,Rue Sherbrooke Ouest,N/A,S16,37,ACSA,Silver Maple,Acer saccharinum,Acer,45.492389,-73.586562,1050.350953
15536,205955,17663612-1063-4219-a12f-30d64261c782,3/6/2012 12:00:00 AM,Public,Street,Rue Sherbrooke Ouest,N/A,S16,33,ACSA,Silver Maple,Acer saccharinum,Acer,45.492745,-73.585954,1050.350953
15537,205956,db499b53-e67e-40f6-9aae-b0dc49f9dce3,3/6/2012 12:00:00 AM,Public,Street,Rue Sherbrooke Ouest,N/A,S16,50,ACSA,Silver Maple,Acer saccharinum,Acer,45.492202,-73.586879,1050.350953
