"","X","Plot","Plot.code","Classification","GS.Type","Site.Type","Site.Code","Genus.Code","Species.Code","Cultivar.Code","Species.Latin","Species.Common","DBH","Native_SLL","Native_ETF","Origin.Source","Comments"
"91",98,"Dawson",1,"Private","Institutional","I","I3","AC","ACNE","ACNE","Acer negundo","Manitoba Maple",7,"N","Y","USDA/TC/LM/Mortens",""
"92",99,"Dawson",1,"Private","Institutional","I","I3","AC","ACNE","ACNE","Acer negundo","Manitoba Maple",5.1,"N","Y","USDA/TC/LM/Mortens",""
"93",100,"Dawson",1,"Private","Private","Y","Y15","AC","ACNE","ACNE","Acer negundo","Manitoba Maple",24.6,"N","Y","USDA/TC/LM/Mortens",""
"94",101,"Dawson",1,"Private","Private","Y","Y15","AC","ACNE","ACNE","Acer negundo","Manitoba Maple",40.4,"N","Y","USDA/TC/LM/Mortens",""
"95",102,"Dawson",1,"Private","Private","Y","Y19","AC","ACNE","ACNE","Acer negundo","Manitoba Maple",16,"N","Y","USDA/TC/LM/Mortens",""
"96",103,"Dawson",1,"Private","Private","Y","Y19","AC","ACNE","ACNE","Acer negundo","Manitoba Maple",8.2,"N","Y","USDA/TC/LM/Mortens",""
"97",104,"Dawson",1,"Private","Private","Y","Y19","AC","ACNE","ACNE","Acer negundo","Manitoba Maple",7,"N","Y","USDA/TC/LM/Mortens",""
"98",105,"Dawson",1,"Private","Private","Y","Y19","AC","ACNE","ACNE","Acer negundo","Manitoba Maple",6.7,"N","Y","USDA/TC/LM/Mortens",""
"99",106,"Dawson",1,"Private","Private","Y","Y20","AC","ACNE","ACNE","Acer negundo","Manitoba Maple",8.3,"N","Y","USDA/TC/LM/Mortens",""
"100",107,"Dawson",1,"Private","Private","Y","Y22","AC","ACNE","ACNE","Acer negundo","Manitoba Maple",30.8,"N","Y","USDA/TC/LM/Mortens",""
"101",108,"Dawson",1,"Private","Private","Y","Y22","AC","ACNE","ACNE","Acer negundo","Manitoba Maple",52.3,"N","Y","USDA/TC/LM/Mortens",""
"102",109,"Dawson",1,"Private","Private","Y","Y22","AC","ACNE","ACNE","Acer negundo","Manitoba Maple",11.5,"N","Y","USDA/TC/LM/Mortens",""
"103",110,"Dawson",1,"Private","Private","Y","Y22","AC","ACNE","ACNE","Acer negundo","Manitoba Maple",11.3,"N","Y","USDA/TC/LM/Mortens",""
"104",111,"Dawson",1,"Private","Private","Y","Y22","AC","ACNE","ACNE","Acer negundo","Manitoba Maple",7,"N","Y","USDA/TC/LM/Mortens",""
"105",112,"Dawson",1,"Private","Private","Y","Y22","AC","ACNE","ACNE","Acer negundo","Manitoba Maple",5,"N","Y","USDA/TC/LM/Mortens",""
"106",113,"Dawson",1,"Private","Private","Y","Y26","AC","ACNE","ACNE","Acer negundo","Manitoba Maple",95.9,"N","Y","USDA/TC/LM/Mortens",""
"107",114,"Dawson",1,"Private","Private","Y","Y26","AC","ACNE","ACNE","Acer negundo","Manitoba Maple",51.6,"N","Y","USDA/TC/LM/Mortens",""
"108",115,"Dawson",1,"Private","Private","Y","Y28","AC","ACNE","ACNE","Acer negundo","Manitoba Maple",34.1,"N","Y","USDA/TC/LM/Mortens",""
"109",116,"Dawson",1,"Private","Private","Y","Y34","AC","ACNE","ACNE","Acer negundo","Manitoba Maple",70.3,"N","Y","USDA/TC/LM/Mortens",""
"110",117,"Dawson",1,"Private","Private","Y","Y35","AC","ACNE","ACNE","Acer negundo","Manitoba Maple",69.2,"N","Y","USDA/TC/LM/Mortens",""
"111",118,"Dawson",1,"Private","Private","Y","Y40","AC","ACNE","ACNE","Acer negundo","Manitoba Maple",34.6,"N","Y","USDA/TC/LM/Mortens",""
"112",119,"Dawson",1,"Private","Private","Y","Y40","AC","ACNE","ACNE","Acer negundo","Manitoba Maple",43.7,"N","Y","USDA/TC/LM/Mortens",""
"113",120,"Dawson",1,"Private","Private","Y","Y12","AC","ACNE","ACNE","Acer negundo","Manitoba Maple",45.5,"N","Y","USDA/TC/LM/Mortens",""
"114",121,"Dawson",1,"Private","Private","Y","Y42","AC","ACNE","ACNE","Acer negundo","Manitoba Maple",34.6,"N","Y","USDA/TC/LM/Mortens",""
"115",122,"Dawson",1,"Private","Private","Y","Y42","AC","ACNE","ACNE","Acer negundo","Manitoba Maple",75.7,"N","Y","USDA/TC/LM/Mortens",""
"116",123,"Dawson",1,"Private","Private","Y","Y44","AC","ACNE","ACNE","Acer negundo","Manitoba Maple",18,"N","Y","USDA/TC/LM/Mortens",""
"117",125,"Dawson",1,"Private","Private","Y","Y73","AC","ACNE","ACNE","Acer negundo","Manitoba Maple",42.1,"N","Y","USDA/TC/LM/Mortens",""
"118",126,"Dawson",1,"Private","Private","Y","Y73","AC","ACNE","ACNE","Acer negundo","Manitoba Maple",38.3,"N","Y","USDA/TC/LM/Mortens",""
"119",127,"Dawson",1,"Private","Private","Y","Y83","AC","ACNE","ACNE","Acer negundo","Manitoba Maple",50.8,"N","Y","USDA/TC/LM/Mortens",""
"120",128,"Dawson",1,"Private","Private","Y","Y83","AC","ACNE","ACNE","Acer negundo","Manitoba Maple",37.9,"N","Y","USDA/TC/LM/Mortens",""
"121",129,"Dawson",1,"Private","Private","Y","Y84","AC","ACNE","ACNE","Acer negundo","Manitoba Maple",21.6,"N","Y","USDA/TC/LM/Mortens",""
"122",130,"Dawson",1,"Private","Private","Y","Y84","AC","ACNE","ACNE","Acer negundo","Manitoba Maple",65.8,"N","Y","USDA/TC/LM/Mortens",""
"123",131,"Dawson",1,"Private","Private","Y","Y2","AC","ACNE","ACNE","Acer negundo","Manitoba Maple",41.1,"N","Y","USDA/TC/LM/Mortens",""
"124",132,"Dawson",1,"Private","Private","Y","Y1","AC","ACNE","ACNE","Acer negundo","Manitoba Maple",42.2,"N","Y","USDA/TC/LM/Mortens",""
"125",133,"Dawson",1,"Private","Private","Y","Y113","AC","ACNE","ACNE","Acer negundo","Manitoba Maple",29.6,"N","Y","USDA/TC/LM/Mortens",""
"126",134,"Dawson",1,"Private","Private","Y","Y113","AC","ACNE","ACNE","Acer negundo","Manitoba Maple",26.7,"N","Y","USDA/TC/LM/Mortens",""
"127",135,"Dawson",1,"Private","Private","Y","Y113","AC","ACNE","ACNE","Acer negundo","Manitoba Maple",33.2,"N","Y","USDA/TC/LM/Mortens",""
"128",136,"Dawson",1,"Private","Private","Y","Y113","AC","ACNE","ACNE","Acer negundo","Manitoba Maple",19,"N","Y","USDA/TC/LM/Mortens",""
"129",137,"Dawson",1,"Private","Private","Y","Y113","AC","ACNE","ACNE","Acer negundo","Manitoba Maple",18,"N","Y","USDA/TC/LM/Mortens",""
"130",138,"Dawson",1,"Private","Private","Y","Y113","AC","ACNE","ACNE","Acer negundo","Manitoba Maple",21,"N","Y","USDA/TC/LM/Mortens",""
"131",139,"Dawson",1,"Private","Private","Y","Y114","AC","ACNE","ACNE","Acer negundo","Manitoba Maple",30.4,"N","Y","USDA/TC/LM/Mortens",""
"132",140,"Dawson",1,"Private","Private","Y","Y114","AC","ACNE","ACNE","Acer negundo","Manitoba Maple",14.6,"N","Y","USDA/TC/LM/Mortens",""
"133",141,"Dawson",1,"Private","Private","Y","Y114","AC","ACNE","ACNE","Acer negundo","Manitoba Maple",15,"N","Y","USDA/TC/LM/Mortens",""
"134",142,"Dawson",1,"Private","Private","Y","Y118","AC","ACNE","ACNE","Acer negundo","Manitoba Maple",50.4,"N","Y","USDA/TC/LM/Mortens",""
"135",143,"Dawson",1,"Private","Private","Y","Y119","AC","ACNE","ACNE","Acer negundo","Manitoba Maple",7.4,"N","Y","USDA/TC/LM/Mortens",""
"136",144,"Dawson",1,"Private","Private","Y","Y119","AC","ACNE","ACNE","Acer negundo","Manitoba Maple",7.9,"N","Y","USDA/TC/LM/Mortens",""
"137",145,"Dawson",1,"Private","Private","Y","Y119","AC","ACNE","ACNE","Acer negundo","Manitoba Maple",5,"N","Y","USDA/TC/LM/Mortens",""
"138",146,"Dawson",1,"Private","Private","Y","Y119","AC","ACNE","ACNE","Acer negundo","Manitoba Maple",5,"N","Y","USDA/TC/LM/Mortens",""
"139",147,"Dawson",1,"Private","Private","Y","Y119","AC","ACNE","ACNE","Acer negundo","Manitoba Maple",6.2,"N","Y","USDA/TC/LM/Mortens",""
"140",148,"Dawson",1,"Private","Private","Y","Y119","AC","ACNE","ACNE","Acer negundo","Manitoba Maple",5,"N","Y","USDA/TC/LM/Mortens",""
"141",149,"Dawson",1,"Private","Private","Y","Y127","AC","ACNE","ACNE","Acer negundo","Manitoba Maple",15.2,"N","Y","USDA/TC/LM/Mortens",""
"142",150,"Dawson",1,"Private","Private","Y","Y127","AC","ACNE","ACNE","Acer negundo","Manitoba Maple",19.2,"N","Y","USDA/TC/LM/Mortens",""
"143",151,"Dawson",1,"Private","Private","Y","Y129","AC","ACNE","ACNE","Acer negundo","Manitoba Maple",24.1,"N","Y","USDA/TC/LM/Mortens",""
"144",152,"Dawson",1,"Private","Private","Y","Y132","AC","ACNE","ACNE","Acer negundo","Manitoba Maple",10.1,"N","Y","USDA/TC/LM/Mortens",""
"145",153,"Dawson",1,"Private","Private","Y","Y139","AC","ACNE","ACNE","Acer negundo","Manitoba Maple",5,"N","Y","USDA/TC/LM/Mortens",""
"146",154,"Dawson",1,"Private","Private","Y","Y139","AC","ACNE","ACNE","Acer negundo","Manitoba Maple",11,"N","Y","USDA/TC/LM/Mortens",""
"147",155,"Dawson",1,"Private","Private","Y","Y140","AC","ACNE","ACNE","Acer negundo","Manitoba Maple",31.4,"N","Y","USDA/TC/LM/Mortens",""
"148",156,"Dawson",1,"Private","Private","Y","Y140","AC","ACNE","ACNE","Acer negundo","Manitoba Maple",40,"N","Y","USDA/TC/LM/Mortens",""
"149",157,"Dawson",1,"Private","Private","Y","Y140","AC","ACNE","ACNE","Acer negundo","Manitoba Maple",34.3,"N","Y","USDA/TC/LM/Mortens",""
"150",158,"Dawson",1,"Private","Private","Y","Y140","AC","ACNE","ACNE","Acer negundo","Manitoba Maple",44.1,"N","Y","USDA/TC/LM/Mortens",""
"151",159,"Dawson",1,"Private","Private","Y","Y141","AC","ACNE","ACNE","Acer negundo","Manitoba Maple",17.4,"N","Y","USDA/TC/LM/Mortens",""
"152",160,"Dawson",1,"Private","Private","Y","Y149","AC","ACNE","ACNE","Acer negundo","Manitoba Maple",10.7,"N","Y","USDA/TC/LM/Mortens",""
"153",161,"Dawson",1,"Private","Private","Y","Y150","AC","ACNE","ACNE","Acer negundo","Manitoba Maple",5.9,"N","Y","USDA/TC/LM/Mortens",""
"154",162,"Dawson",1,"Private","Private","Y","Y152","AC","ACNE","ACNE","Acer negundo","Manitoba Maple",13.5,"N","Y","USDA/TC/LM/Mortens",""
"155",164,"Dawson",1,"Private","Private","Y","Y161","AC","ACNE","ACNE","Acer negundo","Manitoba Maple",73.1,"N","Y","USDA/TC/LM/Mortens",""
"156",165,"Dawson",1,"Private","Private","Y","Y161","AC","ACNE","ACNE","Acer negundo","Manitoba Maple",24,"N","Y","USDA/TC/LM/Mortens",""
