"","X","Plot","Plot.code","Classification","GS.Type","Site.Type","Site.Code","Genus.Code","Species.Code","Cultivar.Code","Species.Latin","Species.Common","DBH","Native_SLL","Native_ETF","Origin.Source","Comments"
"304",318,"Dawson",1,"Private","Private","Y","Y113","AC","ACPL","ACPL","Acer platanoides","Norway Maple",25.2,"N","N","USDA/TC",""
"305",319,"Dawson",1,"Private","Private","Y","Y113","AC","ACPL","ACPL","Acer platanoides","Norway Maple",15.5,"N","N","USDA/TC",""
"306",320,"Dawson",1,"Private","Private","Y","Y113","AC","ACPL","ACPL","Acer platanoides","Norway Maple",25.6,"N","N","USDA/TC",""
"307",321,"Dawson",1,"Private","Private","Y","Y113","AC","ACPL","ACPL","Acer platanoides","Norway Maple",23,"N","N","USDA/TC",""
"308",322,"Dawson",1,"Private","Private","Y","Y113","AC","ACPL","ACPL","Acer platanoides","Norway Maple",15.5,"N","N","USDA/TC",""
"309",323,"Dawson",1,"Private","Private","Y","Y113","AC","ACPL","ACPL","Acer platanoides","Norway Maple",20.6,"N","N","USDA/TC",""
"310",324,"Dawson",1,"Private","Private","Y","Y113","AC","ACPL","ACPL","Acer platanoides","Norway Maple",25.3,"N","N","USDA/TC",""
"311",325,"Dawson",1,"Private","Private","Y","Y113","AC","ACPL","ACPL","Acer platanoides","Norway Maple",15.9,"N","N","USDA/TC",""
"312",326,"Dawson",1,"Private","Private","Y","Y114","AC","ACPL","ACPL","Acer platanoides","Norway Maple",26.8,"N","N","USDA/TC",""
"313",327,"Dawson",1,"Private","Private","Y","Y114","AC","ACPL","ACPL","Acer platanoides","Norway Maple",8.1,"N","N","USDA/TC",""
"314",328,"Dawson",1,"Private","Private","Y","Y114","AC","ACPL","ACPL","Acer platanoides","Norway Maple",8.2,"N","N","USDA/TC",""
"315",329,"Dawson",1,"Private","Private","Y","Y114","AC","ACPL","ACPL","Acer platanoides","Norway Maple",9.3,"N","N","USDA/TC",""
"316",330,"Dawson",1,"Private","Private","Y","Y114","AC","ACPL","ACPL","Acer platanoides","Norway Maple",19.3,"N","N","USDA/TC",""
"317",331,"Dawson",1,"Private","Private","Y","Y114","AC","ACPL","ACPL","Acer platanoides","Norway Maple",56.3,"N","N","USDA/TC",""
